Player,KEN
Dudley Bradley,0.09222919937205651
Ron Lee,0.090653035677029
Eddie Jordan,0.09004349359351123
Alvin Robertson,0.08561352304511735
Slick Watts,0.08347085902892383
Quinn Buckner,0.08230224684518313
Micheal Ray Richardson,0.07870245844316531
Johnny Moore,0.07572598659717052
Nate McMillan,0.07544219681422848
Mike Gale,0.07507373313075341
